result_path,experiment_name,experiment_timestamp,model,dataset_type,dataset_name,method_type,method_name,seed,thinking,constrained,structured,soft_precision,soft_recall,soft_f1,hard_precision,hard_recall,hard_f1,total_entries,avg_completion_tokens,total_completion_tokens,soft_overlap,soft_predicted,soft_gold,hard_overlap,hard_predicted,hard_gold,error_empty_response,error_format_error,error_span_not_found,error_partial_span_not_found,error_invalid_label,error_partial_invalid_label,error_empty_prediction,error_success,error_format_max_tokens_exceeded,error_format_unescaped_quotes,error_empty_label,error_partial_empty_label,error_quotations_in_spans,error_partial_quotations_in_spans
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_multigec_en_46_20260519_165347_results.json,llama_3_70b_constrained_fixed,2026-05-19 16:53:47,meta-llama/Llama-3.3-70B-Instruct,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.1619,0.5192,0.2469,0.1455,0.4665,0.2218,504,400.0734126984127,201637,15499,95720,29854,13927,95720,29854,0,0,0,0,0,0,0,501,3,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_multigec_en_45_20260519_152459_results.json,llama_3_70b_constrained_fixed,2026-05-19 15:24:59,meta-llama/Llama-3.3-70B-Instruct,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.1621,0.5118,0.2462,0.1465,0.4627,0.2226,504,387.76190476190476,195432,15280,94262,29854,13812,94262,29854,0,0,0,0,0,0,0,502,2,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_multigec_en_44_20260519_135953_results.json,llama_3_70b_constrained_fixed,2026-05-19 13:59:53,meta-llama/Llama-3.3-70B-Instruct,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.1757,0.5186,0.2625,0.16,0.4723,0.239,504,375.7757936507937,189391,15482,88115,29854,14099,88115,29854,0,0,0,0,0,0,0,501,3,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_multigec_en_43_20260519_122630_results.json,llama_3_70b_constrained_fixed,2026-05-19 12:26:30,meta-llama/Llama-3.3-70B-Instruct,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.1712,0.5131,0.2567,0.1558,0.4671,0.2337,504,406.04761904761904,204648,15317,89481,29854,13945,89481,29854,0,0,0,0,0,0,0,500,4,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_multigec_en_42_20260519_105724_results.json,llama_3_70b_constrained_fixed,2026-05-19 10:57:24,meta-llama/Llama-3.3-70B-Instruct,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.1587,0.5231,0.2435,0.1424,0.4695,0.2186,504,381.98809523809524,192522,15618,98405,29854,14017,98405,29854,0,0,0,0,0,0,0,502,2,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_pud_46_20260519_093903_results.json,llama_3_70b_constrained_fixed,2026-05-19 09:39:03,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_pud,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.622,0.6298,0.6259,0.5851,0.5924,0.5887,592,406.9662162162162,240924,3568,5736,5665,3356,5736,5665,0,0,0,0,0,0,13,529,46,0,0,2,2,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_pud_45_20260519_083109_results.json,llama_3_70b_constrained_fixed,2026-05-19 08:31:09,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_pud,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.6085,0.6431,0.6253,0.5761,0.6088,0.592,592,345.05405405405406,204272,3643,5987,5665,3449,5987,5665,0,0,0,0,0,0,12,540,37,0,0,2,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_pud_44_20260519_071500_results.json,llama_3_70b_constrained_fixed,2026-05-19 07:15:00,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_pud,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.6025,0.6475,0.6242,0.5705,0.6131,0.591,592,375.09797297297297,222058,3668,6088,5665,3473,6088,5665,0,0,0,0,0,0,10,540,41,0,0,0,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_pud_43_20260519_055459_results.json,llama_3_70b_constrained_fixed,2026-05-19 05:54:59,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_pud,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.5784,0.6323,0.6041,0.5416,0.5921,0.5657,592,395.7837837837838,234304,3582,6193,5665,3354,6193,5665,0,0,0,0,0,0,14,531,44,0,0,2,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_pud_42_20260519_044842_results.json,llama_3_70b_constrained_fixed,2026-05-19 04:48:42,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_pud,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.5859,0.66,0.6207,0.5525,0.6224,0.5854,592,326.2804054054054,193158,3739,6382,5665,3526,6382,5665,0,1,0,0,0,0,10,547,33,0,0,1,0,0
